starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:16:48,plonky2,1,2G,,52,71912
2024-10-08 18:16:49,halo2,1,2G,,5,17730
2024-10-08 18:16:49,halo2,1,2G,,6,23775
2024-10-08 18:16:49,halo2,1,2G,,7,33298
2024-10-08 18:16:49,halo2,1,2G,,8,54455
2024-10-08 18:16:49,halo2,1,2G,,9,83868
2024-10-08 18:16:49,halo2,1,2G,,10,144696
2024-10-08 18:16:50,scribe,2,2G,,5,99705
2024-10-08 18:16:50,scribe,2,2G,,6,95611
2024-10-08 18:16:50,scribe,2,2G,,7,96699
2024-10-08 18:16:50,scribe,2,2G,,8,103015
2024-10-08 18:16:50,scribe,2,2G,,9,110476
2024-10-08 18:16:50,scribe,2,2G,,10,153924
2024-10-08 18:16:51,hp,2,2G,,5,28249
2024-10-08 18:16:51,hp,2,2G,,6,26940
2024-10-08 18:16:51,hp,2,2G,,7,32165
2024-10-08 18:16:51,hp,2,2G,,8,43809
2024-10-08 18:16:51,hp,2,2G,,9,57939
2024-10-08 18:16:51,hp,2,2G,,10,83499
2024-10-08 18:16:51,gemini,2,2G,,5,34539
2024-10-08 18:16:51,gemini,2,2G,,6,45742
2024-10-08 18:16:51,gemini,2,2G,,7,72581
2024-10-08 18:16:51,gemini,2,2G,,8,125072
2024-10-08 18:16:51,gemini,2,2G,,9,201508
2024-10-08 18:16:51,gemini,2,2G,,10,352529
2024-10-08 18:16:52,plonky2,2,2G,,2,37695
2024-10-08 18:16:52,plonky2,2,2G,,4,20535
2024-10-08 18:16:52,plonky2,2,2G,,7,24987
2024-10-08 18:16:52,plonky2,2,2G,,13,23442
2024-10-08 18:16:52,plonky2,2,2G,,26,47110
2024-10-08 18:16:52,plonky2,2,2G,,52,20630
2024-10-08 18:16:52,halo2,2,2G,,5,10084
2024-10-08 18:16:52,halo2,2,2G,,6,15136
2024-10-08 18:16:52,halo2,2,2G,,7,40222
2024-10-08 18:16:52,halo2,2,2G,,8,30392
2024-10-08 18:16:52,halo2,2,2G,,9,54134
2024-10-08 18:16:52,halo2,2,2G,,10,87944
2024-10-08 18:16:53,scribe,4,2G,,5,100414
2024-10-08 18:16:53,scribe,4,2G,,6,90787
2024-10-08 18:16:53,scribe,4,2G,,7,109592
2024-10-08 18:16:53,scribe,4,2G,,8,98453
2024-10-08 18:16:53,scribe,4,2G,,9,108883
2024-10-08 18:16:53,scribe,4,2G,,10,124775
2024-10-08 18:16:54,hp,4,2G,,5,20470
2024-10-08 18:16:54,hp,4,2G,,6,19641
2024-10-08 18:16:54,hp,4,2G,,7,11013
2024-10-08 18:16:54,hp,4,2G,,8,52552
2024-10-08 18:16:54,hp,4,2G,,9,38510
2024-10-08 18:16:54,hp,4,2G,,10,41803
2024-10-08 18:16:54,gemini,4,2G,,5,32498
2024-10-08 18:16:54,gemini,4,2G,,6,35116
2024-10-08 18:16:54,gemini,4,2G,,7,56594
2024-10-08 18:16:54,gemini,4,2G,,8,93168
2024-10-08 18:16:54,gemini,4,2G,,9,126846
